"","indicat_procedure","airport","SID/STAR","procedure","entry_exit_waypoint","Runway","waypoint","dist(NM)","Rumo(°)","FL_min","FL_max","Fl_exato","Pto_espera","Ang_espera_1","Ang_espera_2","Merge point","way","procedure_set","lat_air","long_air","lat","long","indicat"
"1",1,"SBBR","SID","SID ANPAX 2A - LIXEM 1A RWY 29L-1","ARPON","29L","PISTA(SBBR)",NA,288,"42",NA,NA,"Não",NA,NA,"Não",1,"SID ANPAX 2A - LIXEM 1A RWY 29L",-15.871111,-47.918611,-15.86917,-47.92083,1
"2",1,"SBBR","SID","SID ANPAX 2A - LIXEM 1A RWY 29L-1","ARPON","29L","SAVGO",NA,NA,NA,NA,NA,"Não",NA,NA,"Não",1,"SID ANPAX 2A - LIXEM 1A RWY 29L",-15.871111,-47.918611,-15.886922222,-48.037852778,1
"3",1,"SBBR","SID","SID ANPAX 2A - LIXEM 1A RWY 29L-1","ARPON","29L","UKENA",6.5,54,NA,"70",NA,"Não",NA,NA,"Não",1,"SID ANPAX 2A - LIXEM 1A RWY 29L",-15.871111,-47.918611,-15.676227778,-47.777741667,1
"4",1,"SBBR","SID","SID ANPAX 2A - LIXEM 1A RWY 29L-1","ARPON","29L","ANPAX",21.6,107,NA,NA,NA,"Não",NA,NA,"Não",1,"SID ANPAX 2A - LIXEM 1A RWY 29L",-15.871111,-47.918611,-15.584269444,-47.718194444,1
"5",1,"SBBR","SID","SID ANPAX 2A - LIXEM 1A RWY 29L-1","ARPON","29L","FORMOSA",48.7,79,NA,NA,NA,"Não",NA,NA,"Não",1,"SID ANPAX 2A - LIXEM 1A RWY 29L",-15.871111,-47.918611,-15.55578,-47.34452,1
"6",1,"SBBR","SID","SID ANPAX 2A - LIXEM 1A RWY 29L-1","ARPON","29L","ARPON",NA,NA,NA,NA,NA,"Não",NA,NA,"Não",1,"SID ANPAX 2A - LIXEM 1A RWY 29L",-15.871111,-47.918611,-15.110555556,-46.643555556,1
"7",2,"SBBR","SID","SID ANPAX 2A - LIXEM 1A RWY 29L-2","KOLDA","29L","PISTA(SBBR)",NA,288,"42",NA,NA,"Não",NA,NA,"Não",2,"SID ANPAX 2A - LIXEM 1A RWY 29L",-15.871111,-47.918611,-15.86917,-47.92083,2
"8",2,"SBBR","SID","SID ANPAX 2A - LIXEM 1A RWY 29L-2","KOLDA","29L","SAVGO",NA,NA,NA,NA,NA,"Não",NA,NA,"Não",2,"SID ANPAX 2A - LIXEM 1A RWY 29L",-15.871111,-47.918611,-15.886922222,-48.037852778,2
"9",2,"SBBR","SID","SID ANPAX 2A - LIXEM 1A RWY 29L-2","KOLDA","29L","UKENA",6.5,54,NA,"70",NA,"Não",NA,NA,"Não",2,"SID ANPAX 2A - LIXEM 1A RWY 29L",-15.871111,-47.918611,-15.676227778,-47.777741667,2
"10",2,"SBBR","SID","SID ANPAX 2A - LIXEM 1A RWY 29L-2","KOLDA","29L","ANPAX",21.6,107,NA,NA,NA,"Não",NA,NA,"Não",2,"SID ANPAX 2A - LIXEM 1A RWY 29L",-15.871111,-47.918611,-15.584269444,-47.718194444,2
"11",2,"SBBR","SID","SID ANPAX 2A - LIXEM 1A RWY 29L-2","KOLDA","29L","FORMOSA",13.9,81,NA,NA,NA,"Não",NA,NA,"Não",2,"SID ANPAX 2A - LIXEM 1A RWY 29L",-15.871111,-47.918611,-15.55578,-47.34452,2
"12",2,"SBBR","SID","SID ANPAX 2A - LIXEM 1A RWY 29L-2","KOLDA","29L","KOLDA",NA,NA,NA,NA,NA,"Não",NA,NA,"Não",2,"SID ANPAX 2A - LIXEM 1A RWY 29L",-15.871111,-47.918611,-15.4365,-47.14016667,2
"13",3,"SBBR","SID","SID ANPAX 2A - LIXEM 1A RWY 29L-3","PANOK","29L","PISTA(SBBR)",NA,288,"42",NA,NA,"Não",NA,NA,"Não",3,"SID ANPAX 2A - LIXEM 1A RWY 29L",-15.871111,-47.918611,-15.86917,-47.92083,3
